STOP_ID,STOP_FRISK_DATE,ISSUING_OFFICER_RANK,SUPERVISING_OFFICER_RANK,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME
1,01/01/2021,SGT,POM,CPW,Y,ASSAULT,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),APP NORMAL,40,MALE,BLACK,6.2,200,THN,BRO,BLD,BRONX
2,01/01/2021,POM,SGT,ROBBERY,Y,ROBBERY,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,19,MALE,BLACK,5.11,160,THN,BRO,BLK,QUEENS
3,01/01/2021,POM,SGT,OTHER,Y,ASSAULT,N,Y,(null),(null),N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),INTOXICATED,(null),MALE,ASIAN / PACIFIC ISLANDER,(null),(null),MED,(null),(null),QUEENS
4,01/01/2021,POM,LT,ASSAULT,N,(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,28,MALE,BLACK,6,180,MED,BRO,BLK,BROOKLYN
5,01/01/2021,POM,SGT,RAPE,N,(null),Y,N,N,(null),N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),CONFUSED,19,MALE,BLACK,6.2,185,MED,BRO,BLK,MANHATTAN
6,01/01/2021,POM,SGT,ASSAULT,Y,ASSAULT,Y,Y,Y,Y,Y,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,32,MALE,WHITE HISPANIC,5.1,160,THN,BRO,BLK,BRONX
7,01/01/2021,POM,SGT,PETIT LARCENY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),IRATE,32,MALE,BLACK,5.11,170,THN,BRO,BLK,BROOKLYN
8,02/01/2021,POM,LT,CPW,N,(null),Y,N,Y,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,45,MALE,WHITE HISPANIC,5.1,170,MED,BRO,BLK,BRONX
9,02/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),NERVOUS,27,MALE,BLACK,5.9,160,THN,BRO,BLK,BRONX
10,02/01/2021,POM,SGT,BURGLARY,N,(null),Y,Y,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),#N/A,57,MALE,WHITE HISPANIC,5.3,150,THN,BRO,BRO,BROOKLYN
11,02/01/2021,POM,LT,ASSAULT,Y,ASSAULT,N,Y,N,(null),N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,(null),MALE,BLACK,5.11,260,HEA,BRO,BLK,QUEENS
12,02/01/2021,POM,SGT,CPW,N,(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),CALM,45,MALE,BLACK,5.11,150,THN,BRO,BLK,QUEENS
13,01/01/2021,POM,SGT,CPW,Y,CPW,Y,Y,N,N,N,(null),(null),Y,Y,(null),(null),(null),(null),(null),(null),Y,(null),CALM,17,MALE,WHITE HISPANIC,5.1,150,THN,BRO,BLK,QUEENS
14,01/01/2021,POM,SGT,GRAND LARCENY,Y,GRAND LARCENY,N,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,42,MALE,WHITE,6,160,THN,ZZZ,XXX,MANHATTAN
15,02/01/2021,POM,SGT,BURGLARY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,43,MALE,WHITE HISPANIC,5.9,200,MED,BLK,BLD,BRONX
16,04/01/2021,POM,SGT,CRIMINAL MISCHIEF,Y,CRIMINAL MISCHIEF,N,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),APPARENTLY NORMAL,65,MALE,BLACK,6.5,180,THN,BRO,BLK,MANHATTAN
17,03/01/2021,POM,SGT,OTHER,Y,OTHER,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),CALM,30,MALE,WHITE HISPANIC,5.4,250,HEA,BRO,BLK,MANHATTAN
18,04/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,20,MALE,BLACK,5.1,160,THN,BRO,XXX,BRONX
19,04/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),ANNOYED,20,MALE,BLACK,6,220,MED,BRO,XXX,BRONX
20,04/01/2021,POM,LT,CPW,N,(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALMN,50,MALE,BLACK,5.11,280,MED,BRO,BLK,QUEENS
21,04/01/2021,POM,SGT,BURGLARY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,20,MALE,ASIAN / PACIFIC ISLANDER,5.9,165,THN,BRO,BLK,QUEENS
22,03/01/2021,POM,SGT,GRAND LARCENY,Y,CRIMINAL POSSESSION OF CONTROLLED SUBSTANCE,Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,45,MALE,BLACK,6,170,THN,BRO,BLK,STATEN ISLAND
23,01/01/2021,POM,SGT,PETIT LARCENY,N,(null),N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),Y,(null),(null),(null),CALM,(null),MALE,BLACK,5.8,160,THN,BRO,BLK,BROOKLYN
24,02/01/2021,POM,SGT,CPSP,Y,CPSP,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,38,FEMALE,BLACK,5.9,200,MED,BRO,BLK,BRONX
25,05/01/2021,POF,SGT,BURGLARY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),INDIFFERENT,(null),MALE,BLACK,5.9,200,MED,BRO,BLK,BRONX
26,01/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,30,MALE,WHITE HISPANIC,5.7,170,THN,BRO,BRO,MANHATTAN
27,01/01/2021,POM,SGT,CPW,N,(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,33,MALE,BLACK,6.4,215,MED,BRO,BLK,BRONX
28,03/01/2021,DTS,SGT,CPW,N,(null),Y,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM CONCERENED,35,MALE,BLACK,6.4,240,MED,BRO,BLK,BROOKLYN
29,02/01/2021,POM,SGT,RAPE,Y,RAPE,N,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,23,MALE,BLACK,5.1,190,MED,BRO,BLK,MANHATTAN
30,03/01/2021,DTS,SGT,BURGLARY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,21,MALE,BLACK,6,190,MED,BRO,BLK,MANHATTAN
31,05/01/2021,POM,SGT,ROBBERY,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS AND COOPERATIVE,(null),MALE,WHITE HISPANIC,(null),(null),MED,ZZZ,BLK,MANHATTAN
32,04/01/2021,SGT,LT,ROBBERY,Y,ROBBERY,Y,Y,N,N,N,Y,(null),(null),Y,(null),Y,(null),(null),(null),(null),Y,(null),CALM,44,MALE,BLACK,6.1,240,HEA,BRO,BLD,BRONX
33,02/01/2021,POF,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,25,MALE,WHITE HISPANIC,5.8,160,MED,BRO,BLK,BRONX
34,05/01/2021,POM,SGT,ROBBERY,Y,ROBBERY,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),UNCOOPERATIVE,26,MALE,ASIAN / PACIFIC ISLANDER,5.1,150,MED,BRO,BLK,BROOKLYN
35,01/01/2021,POM,LT,CPW,Y,CPW,Y,Y,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),#N/A,28,MALE,BLACK,5.3,180,MED,BLK,BRO,BROOKLYN
36,01/01/2021,POM,LT,CPW,Y,CPW,N,Y,N,N,Y,Y,(null),(null),Y,(null),(null),Y,(null),(null),(null),Y,(null),FLED ON FOOT,22,MALE,BLACK,6,160,MED,BRO,BLK,BROOKLYN
37,04/01/2021,POM,SGT,PETIT LARCENY,Y,PETIT LARCENY,N,Y,N,(null),Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),AGITATED,29,MALE,WHITE,5.7,170,THN,GRN,RED,BROOKLYN
38,06/01/2021,POM,SGT,ASSAULT,Y,ASSAULT,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),REMORSEFUL,32,MALE,BLACK,6.2,180,THN,BRO,BLK,MANHATTAN
39,05/01/2021,POM,LT,PETIT LARCENY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),COOPERATIVE,21,MALE,WHITE,5.1,150,MED,BRO,BRO,MANHATTAN
40,01/01/2021,POM,SSA,CPW,Y,CPW,N,Y,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),NA,18,MALE,BLACK,5.11,180,THN,BRO,BLK,BRONX
41,01/01/2021,POM,SSA,CPW,N,(null),Y,Y,N,N,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),#N/A,20,MALE,BLACK,5.11,180,THN,BRO,BLK,BRONX
42,05/01/2021,POM,SSA,CPW,N,(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),AGITATED,40,MALE,BLACK,5.9,140,THN,BRO,BLK,BROOKLYN
43,05/01/2021,POM,SGT,GRAND LARCENY AUTO,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,18,MALE,WHITE HISPANIC,5.1,150,THN,BRO,BLK,STATEN ISLAND
44,05/01/2021,POM,SGT,GRAND LARCENY AUTO,Y,GRAND LARCENY AUTO,N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,20,MALE,BLACK,6.3,190,THN,GRY,BLK,STATEN ISLAND
45,05/01/2021,POM,SGT,BURGLARY,Y,BURGLARY,N,Y,N,N,N,(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),Y,(null),SHOCK,24,MALE,BLACK HISPANIC,5.8,130,THN,BRO,BLK,MANHATTAN
46,05/01/2021,POM,SGT,FORCIBLE TOUCHING,Y,FORCIBLE TOUCHING,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,31,MALE,WHITE,5.8,150,THN,ZZZ,BRO,MANHATTAN
47,06/01/2021,POM,LT,ROBBERY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),AGGITATED,17,FEMALE,BLACK,5.1,140,THN,BRO,BLK,BRONX
48,06/01/2021,POM,LT,PETIT LARCENY,N,(null),N,Y,Y,Y,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),APP. NORMAL,31,MALE,WHITE,5.6,175,THN,BRO,BLN,BRONX
49,01/01/2021,POM,SGT,CPW,N,(null),Y,N,N,Y,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),Y,(null),NERVOUS,20,MALE,BLACK HISPANIC,5.9,170,MED,BRO,BLK,BRONX
50,01/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),#N/A,20,MALE,WHITE HISPANIC,5.1,180,THN,BRO,BLK,BRONX
51,06/01/2021,POM,SGT,CPW,N,(null),Y,Y,N,N,N,(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),Y,(null),HOSTILE COMBATIVE AND UNCOOPERATIVE,21,MALE,BLACK,5.8,160,THN,BLU,BLK,BRONX
52,06/01/2021,POM,SGT,PETIT LARCENY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,40,MALE,(null),6.4,170,THN,BRO,BLK,QUEENS
53,05/01/2021,POM,SGT,ROBBERY,N,(null),Y,N,N,(null),N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,17,MALE,BLACK,6.1,160,THN,BRO,BLK,QUEENS
54,05/01/2021,POM,SGT,ROBBERY,N,(null),Y,N,(null),N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,14,MALE,BLACK,5.6,130,THN,BRO,BLK,QUEENS
55,05/01/2021,SGT,LT,ROBBERY,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,19,MALE,BLACK,5.7,180,THN,BRO,BLK,QUEENS
56,05/01/2021,POM,SGT,ROBBERY,Y,CPW,Y,Y,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),ANGRY,12,MALE,BLACK,5.5,120,THN,BRO,BLK,QUEENS
57,06/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,48,MALE,ASIAN / PACIFIC ISLANDER,5.7,200,MED,BRO,BLK,QUEENS
58,06/01/2021,POM,LT,BURGLARY,Y,BURGLARY,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),UPSET,39,FEMALE,WHITE,5.5,140,MED,BLU,BRO,MANHATTAN
59,07/01/2021,POM,SGT,CRIMINAL SALE OF MARIHUANA,Y,CPW,Y,N,Y,Y,Y,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),CALM/NORMAL,25,MALE,WHITE HISPANIC,5.1,200,MED,BRO,BLK,MANHATTAN
60,07/01/2021,POM,LT,ROBBERY,Y,ROBBERY,N,N,N,N,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),#N/A,12,MALE,BLACK HISPANIC,5.4,120,THN,BRO,BRO,BRONX
61,02/01/2021,POM,LT,ASSAULT,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,18,MALE,WHITE HISPANIC,6,165,THN,BRO,BLK,BROOKLYN
62,02/01/2021,POM,LT,ASSAULT,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,17,FEMALE,WHITE HISPANIC,4,85,THN,BRO,BLK,BROOKLYN
63,02/01/2021,POM,LT,ASSAULT,Y,ASSAULT,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),ANNOYED,19,MALE,WHITE HISPANIC,5.1,160,THN,BRO,BLK,BROOKLYN
64,05/01/2021,POM,SGT,GRAND LARCENY,N,(null),N,Y,Y,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),CALM AND UNDERSTOOD REASON FOR STOP,35,MALE,BLACK,5.5,150,THN,BRO,BLD,MANHATTAN
65,07/01/2021,POM,LT,OTHER,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM AND COMPLIANT,30,MALE,ASIAN / PACIFIC ISLANDER,5.6,160,MED,BRO,BLK,MANHATTAN
66,02/01/2021,POM,SGT,ROBBERY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,(null),MALE,BLACK,5.7,160,MED,BLK,BLK,BROOKLYN
67,04/01/2021,POM,SGT,CPW,N,(null),Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),UPSET,26,MALE,WHITE HISPANIC,5.5,180,MED,BRO,BLK,BROOKLYN
68,04/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),UPSET,18,MALE,WHITE HISPANIC,5.5,140,THN,BRO,BLK,BROOKLYN
69,05/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),Y,(null),UPSET,23,MALE,BLACK,6.3,250,HEA,BRO,BLK,BROOKLYN
70,05/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),Y,(null),(null),(null),(null),Y,(null),UPSET,23,FEMALE,BLACK,5.9,150,MED,BRO,BLK,BROOKLYN
71,02/01/2021,POM,LT,GRAND LARCENY,Y,GRAND LARCENY,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,50,MALE,BLACK,5.8,160,THN,BRO,BLK,BROOKLYN
72,06/01/2021,POM,LT,CPW,N,(null),N,N,Y,Y,Y,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NORMAL,30,MALE,BLACK,5.6,140,THN,BRO,BLK,QUEENS
73,06/01/2021,CPT,LT,GRAND LARCENY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),COOPERATIVE,44,MALE,BLACK,5.11,180,THN,BLK,BLK,QUEENS
74,06/01/2021,POM,SGT,CRIMINAL MISCHIEF,Y,OTHER,N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),ANGRY UNCOOPERATIVE,36,MALE,WHITE,5.9,200,MED,BRO,BLK,STATEN ISLAND
75,04/01/2021,POF,SGT,ROBBERY,N,(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),UPSET,44,MALE,BLACK HISPANIC,6,170,U,BRO,BLK,BROOKLYN
76,04/01/2021,POF,SGT,ROBBERY,N,(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),UPSET,31,FEMALE,WHITE,5.5,110,THN,BRO,BLN,BROOKLYN
77,05/01/2021,POM,SGT,CPW,Y,CPW,N,Y,N,N,Y,Y,(null),(null),Y,(null),(null),Y,(null),(null),(null),Y,(null),#N/A,18,MALE,BLACK,5.8,190,HEA,BRO,BLK,BROOKLYN
78,01/01/2021,POM,SGT,CPW,Y,CPW,Y,Y,N,(null),N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),COMPLIANT,36,MALE,BLACK,5.1,190,MED,BRO,BLK,BROOKLYN
79,07/01/2021,POM,SGT,PETIT LARCENY,Y,PETIT LARCENY,N,Y,N,N,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),AGITATED,55,MALE,BLACK,5.1,170,MED,BRO,BLD,QUEENS
80,07/01/2021,POM,SGT,PETIT LARCENY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),AGITATED,30,MALE,WHITE,6,175,MED,ZZZ,XXX,QUEENS
81,07/01/2021,POM,SGT,CPW,N,(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,20,MALE,BLACK,5.8,150,THN,BLK,BRO,QUEENS
82,08/01/2021,POM,SGT,PETIT LARCENY,N,(null),N,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),UPSET,65,MALE,BLACK,5.1,280,HEA,BRO,BLK,MANHATTAN
83,08/01/2021,POM,SGT,PETIT LARCENY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),ANNOYED,23,FEMALE,BLACK,5.5,120,THN,BRO,BLK,MANHATTAN
84,01/01/2021,DTS,SSA,CPW,N,(null),Y,N,N,(null),N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),COOPERATIVE,27,MALE,BLACK,5.9,160,THN,BRO,BLK,BRONX
85,07/01/2021,POM,SGT,PETIT LARCENY,Y,PETIT LARCENY,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,41,MALE,BLACK,6,180,THN,BRO,BLK,BROOKLYN
86,01/01/2021,POM,SGT,ROBBERY,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),Y,(null),UPSET,65,MALE,BLACK,5.1,170,HEA,BLK,XXX,BROOKLYN
87,06/01/2021,POM,SGT,PETIT LARCENY,Y,ROBBERY,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),#N/A,34,MALE,BLACK HISPANIC,5.5,190,HEA,BRO,BLK,MANHATTAN
88,06/01/2021,POM,SGT,PETIT LARCENY,Y,ROBBERY,N,Y,N,N,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),UNCOOPERATIVE,33,MALE,BLACK HISPANIC,5.5,150,THN,GRN,BLK,MANHATTAN
89,05/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),LOUD DISRUPTIVE,26,MALE,BLACK,5.8,170,THN,BRO,BRO,BRONX
90,01/01/2021,POM,SGT,BURGLARY,N,(null),Y,N,N,(null),N,(null),(null),(null),N,(null),Y,Y,(null),(null),(null),Y,(null),UPSET,(null),MALE,WHITE HISPANIC,5.1,175,MED,BRO,BLK,BROOKLYN
91,09/01/2021,POM,SGT,BURGLARY,N,(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,45,MALE,WHITE HISPANIC,5.6,180,MED,BRO,BRO,BRONX
92,03/01/2021,POM,SGT,PETIT LARCENY,N,(null),N,Y,Y,Y,N,(null),Y,(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),SHOCK,40,MALE,(null),5.6,150,THN,BRO,BRO,BRONX
93,09/01/2021,POM,LT,BURGLARY,Y,BURGLARY,Y,Y,N,N,N,(null),Y,(null),Y,(null),(null),Y,(null),(null),(null),(null),(null),CALM,(null),MALE,WHITE HISPANIC,5.7,160,MED,(null),BRO,QUEENS
94,08/01/2021,POM,SGT,PETIT LARCENY,Y,PETIT LARCENY,N,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,47,MALE,WHITE HISPANIC,5.8,150,THN,BRO,BRO,MANHATTAN
95,08/01/2021,POM,SGT,OTHER,N,(null),Y,N,N,(null),N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),#N/A,(null),MALE,BLACK,(null),(null),(null),(null),(null),MANHATTAN
96,09/01/2021,POM,LT,BURGLARY,Y,OTHER,Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),#N/A,29,MALE,WHITE HISPANIC,5.1,180,MED,(null),BLK,MANHATTAN
97,09/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,23,MALE,BLACK,5.1,220,HEA,BRO,BRO,BRONX
98,09/01/2021,POM,LSA,CPW,N,(null),Y,Y,N,N,Y,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),FRANTIC NERVOUS IRRATIONAL,19,MALE,WHITE HISPANIC,5.7,160,MED,BRO,BLK,BRONX
99,08/01/2021,POM,SGT,BURGLARY,N,(null),Y,N,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,42,MALE,BLACK,6,200,MED,BRO,BLK,BRONX
100,10/01/2021,POM,SGT,CPW,N,(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,26,MALE,WHITE HISPANIC,5.8,220,HEA,BRO,BLK,BRONX
101,10/01/2021,POM,SGT,ASSAULT,N,(null),Y,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),UPSET,23,MALE,WHITE HISPANIC,5.5,160,MED,BLK,BLK,BROOKLYN
102,09/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,64,MALE,WHITE HISPANIC,5.7,165,MED,BRO,BLK,QUEENS
103,09/01/2021,POM,SGT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,54,FEMALE,WHITE HISPANIC,5.3,115,THN,BRO,BLK,QUEENS
104,07/01/2021,POM,SGT,OTHER,N,(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,21,MALE,WHITE HISPANIC,5.7,160,THN,BRO,BLK,STATEN ISLAND
105,08/01/2021,POM,SGT,BURGLARY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NERVOUS,37,FEMALE,WHITE,5.4,120,THN,GRN,BLN,STATEN ISLAND
106,06/01/2021,POM,LT,ROBBERY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,20,MALE,BLACK,5.1,165,THN,BRO,BLK,BRONX
107,08/01/2021,POM,CPT,CPW,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),(null),(null),CALM,45,MALE,BLACK,6.3,170,THN,BRO,BLK,MANHATTAN
108,04/01/2021,POM,SGT,CPW,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),COMPLIANT,22,MALE,BLACK,5.1,260,HEA,ZZZ,(null),BRONX
109,05/01/2021,POM,LT,PETIT LARCENY,Y,PETIT LARCENY,N,Y,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),ANGRY,62,MALE,BLACK,5.1,175,THN,BRO,BLK,BROOKLYN
110,10/01/2021,SGT,LT,CPW,N,(null),Y,N,N,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),AGITATED,40,MALE,BLACK,6.2,300,HEA,BRO,XXX,BROOKLYN
