STOP_ID,STOP_FRISK_DATE,ISSUING_OFFICER_RANK,SUPERVISING_OFFICER_RANK,SUSPECTED_CRIME_DESCRIPTION,SUSPECT_ARRESTED_FLAG,SUSPECT_ARREST_OFFENSE,FRISKED_FLAG,SEARCHED_FLAG,ASK_FOR_CONSENT_FLG,CONSENT_GIVEN_FLG,OTHER_CONTRABAND_FLAG,FIREARM_FLAG,KNIFE_CUTTER_FLAG,OTHER_WEAPON_FLAG,WEAPON_FOUND_FLAG,PHYSICAL_FORCE_CEW_FLAG,PHYSICAL_FORCE_DRAW_POINT_FIREARM_FLAG,PHYSICAL_FORCE_HANDCUFF_SUSPECT_FLAG,PHYSICAL_FORCE_OC_SPRAY_USED_FLAG,PHYSICAL_FORCE_OTHER_FLAG,PHYSICAL_FORCE_RESTRAINT_USED_FLAG,PHYSICAL_FORCE_VERBAL_INSTRUCTION_FLAG,PHYSICAL_FORCE_WEAPON_IMPACT_FLAG,DEMEANOR_OF_PERSON_STOPPED,SUSPECT_REPORTED_AGE,SUSPECT_SEX,SUSPECT_RACE_DESCRIPTION,SUSPECT_HEIGHT,SUSPECT_WEIGHT,SUSPECT_BODY_BUILD_TYPE,SUSPECT_EYE_COLOR,SUSPECT_HAIR_COLOR,STOP_LOCATION_BORO_NAME
3337,14/06/2021,POM,(null),CPW,N,(null),Y,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),IRRATE,18,MALE,BLACK,5.9,190,HEA,BRO,BLK,BROOKLYN
3338,14/06/2021,POM,(null),ROBBERY,N,(null),N,N,N,(null),N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,(null),MALE,BLACK,5.11,260,HEA,BRO,BLD,MANHATTAN
3339,14/06/2021,POM,(null),ASSAULT,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),INTOXICATED CRYING,20,MALE,WHITE HISPANIC,5.2,130,THN,BRO,BRO,BROOKLYN
3340,15/06/2021,POM,(null),PETIT LARCENY,N,(null),N,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),CALM,53,MALE,BLACK,5.1,180,MED,BRO,BLK,QUEENS
3341,07/06/2021,POM,(null),PETIT LARCENY,Y,PETIT LARCENY,Y,Y,N,Y,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),(null),30,MALE,WHITE HISPANIC,5.5,(null),(null),(null),(null),MANHATTAN
3342,21/05/2021,SGT,(null),PETIT LARCENY,Y,PETIT LARCENY,Y,N,N,N,N,(null),(null),(null),N,(null),(null),Y,(null),(null),(null),Y,(null),SURPRISED,60,MALE,BLACK HISPANIC,5.4,140,THN,BRO,GRY,MANHATTAN
3343,12/06/2021,POM,(null),CPW,Y,CPW,N,Y,N,N,N,Y,(null),(null),Y,(null),(null),(null),(null),(null),(null),Y,(null),AGITATED,32,MALE,BLACK,5.9,240,HEA,BRO,BLK,BROOKLYN
3344,13/06/2021,POM,(null),GRAND LARCENY AUTO,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),COMBATIVE,20,MALE,BLACK,6,160,THN,BRO,BLK,BROOKLYN
3345,13/06/2021,POM,(null),GRAND LARCENY AUTO,N,(null),Y,N,N,N,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),COMBATIVE,20,MALE,BLACK,5.7,150,THN,BRO,BLK,BROOKLYN
3346,14/06/2021,POM,(null),OTHER,Y,OTHER,N,N,Y,Y,N,(null),(null),(null),N,(null),(null),(null),(null),(null),(null),Y,(null),NORMAL,47,MALE,BLACK,5.8,165,THN,BRO,BLD,BROOKLYN
